asset_id,hostname,ip_address,asset_type,operating_system,department,business_owner,technical_owner,criticality,environment,location,assigned_user,edr_coverage,logging_status,siem_onboarding_status,expected_services,expected_ports
AST-001,SOC-DC-01,10.20.20.10,Server,Windows Server 2022,IT Operations,IT Director,Tom Davis,Critical,Production,HQ Data Center,None,True,Enabled,Enabled,"Active Directory, DNS","88, 389, 53, 445"
AST-002,SOC-DNS-01,10.20.20.11,Server,Windows Server 2022,IT Operations,IT Director,Tom Davis,Critical,Production,HQ Data Center,None,True,Enabled,Enabled,DNS,53
AST-003,SOC-SRV-APP01,10.20.20.20,Server,Windows Server 2019,Corporate Services,Operations Manager,System Ops Team,High,Production,HQ Data Center,None,True,Enabled,Enabled,IIS Web Server,"80, 443"
AST-004,SOC-SRV-SQL01,10.20.20.30,Server,Windows Server 2019,Finance,Chief Financial Officer,DBA Admin Team,Critical,Production,HQ Data Center,None,True,Enabled,Enabled,Microsoft SQL Server,1433
AST-005,SOC-WKS-084,10.20.10.142,Workstation,Windows 10 Enterprise,IT Helpdesk,IT Support Lead,Sarah Jenkins,Medium,Production,HQ Desk 42,sjenkins,True,Enabled,Enabled,None,None
AST-006,SOC-WKS-012,10.20.10.112,Workstation,Windows 10 Enterprise,IT Operations,IT Director,Tom Davis,High,Production,HQ Admin Office,tdavis,True,Enabled,Enabled,None,None
AST-007,SOC-SPL-01,10.20.30.10,Security SIEM,Ubuntu 22.04 LTS,Information Security,CISO,Security Engineering Team,Critical,Production,HQ Security Rack,None,True,Enabled,Enabled,Splunk Search Head & Indexer,"8000, 8089, 9997"
AST-008,SOC-VPN-01,192.168.20.20,VPN Gateway,Cisco ASA OS,IT Infrastructure,Network Manager,Network Ops Team,Critical,Production,DMZ,None,False,Enabled,Enabled,IPsec & SSL VPN Server,"500, 4500, 443"
AST-009,SOC-WEB-01,192.168.20.30,Web Server,Ubuntu Linux,Marketing,Marketing Director,Webmaster Team,Medium,Production,DMZ,None,True,Enabled,Enabled,Apache Web Server,"80, 443"
AST-010,SOC-WKS-010,10.20.10.110,Workstation,Windows 10 Enterprise,Engineering,Department Head,IT Support Team,Low,Production,Office Floor 1,user010,True,Enabled,Enabled,None,None
